año,mes,dia,hora(utc),altura(mm)
2016,1,1,0,1213 
2016,1,1,1,1326 
2016,1,1,2,1292 
2016,1,1,3,1123 
2016,1,1,4,858 
2016,1,1,5,564 
2016,1,1,6,316 
2016,1,1,7,174 
2016,1,1,8,180 
2016,1,1,9,331 
2016,1,1,10,579 
2016,1,1,11,857 
2016,1,1,12,1099 
2016,1,1,13,1240 
2016,1,1,14,1230 
2016,1,1,15,1074 
2016,1,1,16,819 
2016,1,1,17,522 
2016,1,1,18,250 
2016,1,1,19,79 
2016,1,1,20,58 
2016,1,1,21,188 
2016,1,1,22,436 
2016,1,1,23,741 
2016,1,2,0,1025 
2016,1,2,1,1223 
2016,1,2,2,1298 
2016,1,2,3,1238 
2016,1,2,4,1055 
2016,1,2,5,797 
2016,1,2,6,529 
2016,1,2,7,316 
2016,1,2,8,210 
2016,1,2,9,243 
2016,1,2,10,397 
2016,1,2,11,623 
2016,1,2,12,863 
2016,1,2,13,1064 
2016,1,2,14,1164 
2016,1,2,15,1125 
2016,1,2,16,964 
2016,1,2,17,728 
2016,1,2,18,467 
2016,1,2,19,242 
2016,1,2,20,124 
2016,1,2,21,148 
2016,1,2,22,301 
2016,1,2,23,543 
2016,1,3,0,818 
2016,1,3,1,1062 
2016,1,3,2,1222 
2016,1,3,3,1266 
2016,1,3,4,1183 
2016,1,3,5,992 
2016,1,3,6,746 
2016,1,3,7,503 
2016,1,3,8,320 
2016,1,3,9,242 
2016,1,3,10,289 
2016,1,3,11,437 
2016,1,3,12,637 
2016,1,3,13,845 
2016,1,3,14,1012 
2016,1,3,15,1082 
2016,1,3,16,1028 
2016,1,3,17,874 
2016,1,3,18,661 
2016,1,3,19,432 
2016,1,3,20,251 
2016,1,3,21,179 
2016,1,3,22,235 
2016,1,3,23,396 
2016,1,4,0,626 
2016,1,4,1,875 
2016,1,4,2,1088 
2016,1,4,3,1220 
2016,1,4,4,1240 
2016,1,4,5,1138 
2016,1,4,6,943 
2016,1,4,7,708 
2016,1,4,8,485 
2016,1,4,9,322 
2016,1,4,10,261 
2016,1,4,11,313 
2016,1,4,12,448 
2016,1,4,13,627 
2016,1,4,14,813 
2016,1,4,15,959 
2016,1,4,16,1012 
2016,1,4,17,954 
2016,1,4,18,809 
2016,1,4,19,612 
2016,1,4,20,409 
2016,1,4,21,265 
2016,1,4,22,226 
2016,1,4,23,299 
2016,1,5,0,462 
2016,1,5,1,683 
2016,1,5,2,918 
2016,1,5,3,1112 
2016,1,5,4,1225 
2016,1,5,5,1226 
2016,1,5,6,1109 
2016,1,5,7,910 
2016,1,5,8,679 
2016,1,5,9,464 
2016,1,5,10,311 
2016,1,5,11,259 
2016,1,5,12,311 
2016,1,5,13,438 
2016,1,5,14,606 
2016,1,5,15,785 
2016,1,5,16,923 
2016,1,5,17,969 
2016,1,5,18,908 
2016,1,5,19,765 
2016,1,5,20,576 
2016,1,5,21,392 
2016,1,5,22,272 
2016,1,5,23,252 
2016,1,6,0,333 
2016,1,6,1,501 
2016,1,6,2,726 
2016,1,6,3,958 
2016,1,6,4,1144 
2016,1,6,5,1244 
2016,1,6,6,1228 
2016,1,6,7,1095 
2016,1,6,8,883 
2016,1,6,9,646 
2016,1,6,10,429 
2016,1,6,11,279 
2016,1,6,12,232 
2016,1,6,13,286 
2016,1,6,14,417 
2016,1,6,15,594 
2016,1,6,16,780 
2016,1,6,17,918 
2016,1,6,18,958 
2016,1,6,19,889 
2016,1,6,20,738 
2016,1,6,21,547 
2016,1,6,22,370 
2016,1,6,23,260 
2016,1,7,0,247 
2016,1,7,1,340 
2016,1,7,2,526 
2016,1,7,3,768 
2016,1,7,4,1006 
2016,1,7,5,1191 
2016,1,7,6,1281 
2016,1,7,7,1245 
2016,1,7,8,1086 
2016,1,7,9,851 
2016,1,7,10,596 
2016,1,7,11,370 
2016,1,7,12,220 
2016,1,7,13,180 
2016,1,7,14,250 
2016,1,7,15,403 
2016,1,7,16,606 
2016,1,7,17,809 
2016,1,7,18,948 
2016,1,7,19,976 
2016,1,7,20,890 
2016,1,7,21,720 
2016,1,7,22,515 
2016,1,7,23,332 
2016,1,8,0,223 
2016,1,8,1,220 
2016,1,8,2,335 
2016,1,8,3,554 
2016,1,8,4,820 
2016,1,8,5,1071 
2016,1,8,6,1257 
2016,1,8,7,1333 
2016,1,8,8,1265 
2016,1,8,9,1068 
2016,1,8,10,800 
2016,1,8,11,521 
2016,1,8,12,282 
2016,1,8,13,135 
2016,1,8,14,116 
2016,1,8,15,220 
2016,1,8,16,416 
2016,1,8,17,655 
2016,1,8,18,876 
2016,1,8,19,1009 
2016,1,8,20,1016 
2016,1,8,21,900 
2016,1,8,22,700 
2016,1,8,23,470 
2016,1,9,0,273 
2016,1,9,1,165 
2016,1,9,2,182 
2016,1,9,3,335 
2016,1,9,4,594 
2016,1,9,5,889 
2016,1,9,6,1156 
